period,total_attendances,temp_mean
2014-08-10,421379.0,17.014285714285712
2014-08-17,401633.0,14.771428571428572
2014-08-24,397339.0,12.614285714285714
2014-08-31,411982.0,15.028571428571428
2014-09-07,422837.0,16.014285714285712
2014-09-14,431057.0,14.314285714285715
2014-09-21,441200.0,16.228571428571428
2014-09-28,433844.0,13.885714285714286
2014-10-05,435217.0,13.942857142857141
2014-10-12,422636.0,10.728571428571428
2014-10-19,433392.0,13.271428571428572
2014-10-26,427291.0,11.557142857142859
2014-11-02,417460.0,13.571428571428571
2014-11-09,418413.0,7.714285714285714
2014-11-16,429287.0,9.542857142857143
2014-11-23,430386.0,8.7
2014-11-30,433100.0,6.928571428571429
2014-12-07,436377.0,4.314285714285714
2014-12-14,440447.0,4.257142857142857
2014-12-21,446501.0,7.628571428571428
2014-12-28,403314.0,5.642857142857143
2015-01-04,407372.0,3.914285714285714
2015-01-11,388832.0,7.185714285714285
2015-01-18,377839.0,4.428571428571429
2015-01-25,389400.0,1.7142857142857142
2015-02-01,400414.0,4.328571428571428
2015-02-08,407187.0,1.7714285714285716
2015-02-15,420026.0,4.642857142857143
2015-02-22,405622.0,4.857142857142857
2015-03-01,425611.0,6.314285714285715
2015-03-08,433927.0,6.714285714285714
2015-03-15,433269.0,6.271428571428571
2015-03-22,444849.0,5.885714285714286
2015-03-29,444473.0,6.628571428571428
2015-04-05,439766.0,8.128571428571428
2015-04-12,442874.0,9.914285714285715
2015-04-19,433918.0,9.757142857142856
2015-04-26,434596.0,9.957142857142857
2015-05-03,433407.0,8.157142857142857
2015-05-10,445116.0,11.0
2015-05-17,441271.0,11.1
2015-05-24,434701.0,11.114285714285714
2015-05-31,430635.0,10.87142857142857
2015-06-07,434724.0,12.37142857142857
2015-06-14,444151.0,12.671428571428573
2015-06-21,448591.0,14.242857142857144
2015-06-28,448428.0,15.457142857142857
